id,sales
3000888,2.599736
3000889,0.0
3000890,2.144587
3000891,688.85266
3000892,0.0
3000893,146.81546
3000894,3.2676158
3000895,284.248
3000896,317.23688
3000897,76.959366
3000898,39.5487
3000899,33.34512
3000900,979.27075
3000901,6.144149
3000902,0.48451674
3000903,6.6756268
3000904,36.74201
3000905,0.08569634
3000906,77.948326
3000907,3.9509282
3000908,42.18989
3000909,18.518461
3000910,53.573254
3000911,1.5628142
3000912,126.485176
3000913,120.13955
3000914,1.8487236
3000915,1.9375641
3000916,117.43457
3000917,19.92214
3000918,993.7321
3000919,22.96367
3000920,5.1427684
3000921,1.4073331
3000922,0.0
3000923,1.566524
3000924,717.9002
3000925,0.0
3000926,101.26713
3000927,1.3861656
3000928,457.02295
3000929,273.9021
3000930,160.48837
3000931,19.261414
3000932,16.071371
3000933,1335.3772
3000934,2.6143727
3000935,0.0
3000936,6.269155
3000937,29.179602
3000938,0.0
3000939,122.01953
3000940,0.878059
3000941,13.850017
3000942,15.898706
3000943,44.180683
3000944,0.097674966
3000945,85.158424
3000946,153.69402
3000947,0.19275606
3000948,1.2233298
3000949,72.60431
3000950,11.572028
3000951,428.45834
3000952,24.769283
3000953,0.61297345
3000954,2.1722763
3000955,0.0
3000956,1.3451366
3000957,906.9243
3000958,0.0
3000959,189.6077
3000960,2.0982957
3000961,579.3936
3000962,249.87846
3000963,154.32524
3000964,40.77121
3000965,18.914625
3000966,1481.2144
3000967,5.1478596
3000968,0.04078746
3000969,9.067819
3000970,30.651093
3000971,0.0
3000972,128.85196
3000973,1.0313706
3000974,13.34887
3000975,11.450961
3000976,46.043667
3000977,0.21981752
3000978,125.7235
3000979,164.05495
3000980,0.085540175
3000981,3.244783
3000982,78.05874
3000983,20.068054
3000984,727.4514
3000985,38.7968
3000986,1.0411656
3000987,2.0488951
3000988,0.0
3000989,1.5086036
3000990,796.2114
3000991,0.0
3000992,108.12827
3000993,2.6718009
3000994,497.90335
3000995,266.13147
3000996,126.627495
3000997,24.366064
3000998,17.780157
3000999,1392.3932
3001000,4.804874
3001001,0.1745795
3001002,7.407446
3001003,32.411022
3001004,0.093797326
3001005,114.488205
3001006,1.284594
3001007,12.286933
3001008,19.887247
3001009,53.820755
3001010,0.36541176
3001011,90.7958
3001012,138.46155
3001013,0.23572278
3001014,1.7059245
3001015,68.79935
3001016,12.912655
3001017,417.22348
3001018,26.58175
3001019,1.0936117
3001020,2.0575397
3001021,0.0
3001022,2.3663082
3001023,799.8561
3001024,0.0
3001025,114.83615
3001026,2.681482
3001027,507.68097
3001028,265.44208
3001029,128.02454
3001030,24.581766
3001031,17.884905
3001032,1430.248
3001033,5.720841
3001034,0.11421597
3001035,7.470009
3001036,32.889698
3001037,0.07728922
3001038,109.710815
3001039,1.1429589
3001040,12.555578
3001041,12.25857
3001042,61.520874
3001043,0.36911333
3001044,91.37034
3001045,164.29753
3001046,0.23018432
3001047,1.7126617
3001048,50.75642
3001049,12.951662
3001050,404.62546
3001051,26.29612
3001052,1.1000526
3001053,1.6811123
3001054,0.0
3001055,1.6572793
3001056,669.42554
3001057,0.0
3001058,107.25636
3001059,2.20689
3001060,565.106
3001061,237.42546
3001062,123.45677
3001063,15.812977
3001064,17.0191
3001065,1252.691
3001066,3.9958196
3001067,0.053784013
3001068,7.121008
3001069,41.807247
3001070,0.0
3001071,117.205956
3001072,0.00451231
3001073,11.994408
3001074,16.990965
3001075,47.517906
3001076,0.35837722
3001077,106.47051
3001078,157.48387
3001079,0.1240499
3001080,1.3029432
3001081,32.372036
3001082,23.296965
3001083,503.42743
3001084,26.595379
3001085,0.5982697
3001086,1.7429392
3001087,0.34447944
3001088,2.0422437
3001089,712.3577
3001090,0.0
3001091,96.22713
3001092,0.8601428
3001093,467.71786
3001094,232.51295
3001095,131.83188
3001096,25.62616
3001097,18.640827
3001098,1173.6238
3001099,3.6253152
3001100,0.14668405
3001101,6.6413794
3001102,30.253738
3001103,0.0
3001104,118.24297
3001105,1.6658251
3001106,11.257016
3001107,18.612043
3001108,37.857132
3001109,0.3477589
3001110,65.698364
3001111,123.19313
3001112,0.11189151
3001113,1.4270959
3001114,41.990345
3001115,13.616156
3001116,528.3533
3001117,23.231264
3001118,0.77288175
3001119,2.2154832
3001120,0.0
3001121,1.7994158
3001122,881.46924
3001123,0.0
3001124,153.35464
3001125,2.4076195
3001126,726.83234
3001127,268.5057
3001128,146.40468
3001129,93.52896
3001130,21.260626
3001131,1498.0563
3001132,3.9496846
3001133,0.26894975
3001134,8.6065
3001135,36.121056
3001136,0.072638035
3001137,140.52441
3001138,0.0
3001139,14.807255
3001140,22.621283
3001141,56.677895
3001142,0.5456649
3001143,45.163887
3001144,170.0221
3001145,0.33591723
3001146,1.6698017
3001147,52.461494
3001148,28.406126
3001149,838.8953
3001150,26.844013
3001151,0.8032614
3001152,1.8897538
3001153,0.0
3001154,1.6218483
3001155,949.0598
3001156,0.0
3001157,159.18399
3001158,1.8532717
3001159,481.6633
3001160,330.9083
3001161,186.01846
3001162,44.2785
3001163,23.5073
3001164,1541.55
3001165,4.21421
3001166,0.2367363
3001167,7.8860197
3001168,35.727715
3001169,0.04063773
3001170,136.02263
3001171,0.0
3001172,13.092211
3001173,18.44073
3001174,50.112335
3001175,0.46246374
3001176,101.32191
3001177,154.24031
3001178,0.3408686
3001179,1.4878011
3001180,87.07922
3001181,15.8808
3001182,856.5184
3001183,25.580723
3001184,1.3848741
3001185,2.28246
3001186,0.0
3001187,1.9385049
3001188,884.46405
3001189,0.0
3001190,224.46141
3001191,2.2119584
3001192,327.30557
3001193,383.91037
3001194,122.40788
3001195,49.67257
3001196,21.634386
3001197,1200.4235
3001198,4.3250904
3001199,0.24191809
3001200,8.449883
3001201,29.64157
3001202,0.0
3001203,106.680984
3001204,2.1081855
3001205,26.091953
3001206,20.979916
3001207,55.256203
3001208,0.40409732
3001209,60.78193
3001210,144.93063
